variable_name,units,value,data_reference
R_T1_terminal_1,Js_per_m6,68123000,Boileau_2015
R_T2_terminal_1,Js_per_m6,3101300000,Boileau_2015
R_T_terminal_1,Js_per_m6,3169423000,Boileau_2015
C_T_terminal_1,m6_per_J,3.6664E-10,Boileau_2015
I_T_terminal_1,Js2_per_m6,0.000001,user_defined
u_ext_terminal_1,J_per_m3,0,user_defined
q_us_terminal_1,m3,0,user_defined
q_init_terminal_1,m3,3.421692218224E-06,computed_from_u_0_C_T
u_out_terminal_1,J_per_m3,0,user_defined
Delta_R_terminal_1,Js_per_m6,0,user_defined
R_local_multiplier_terminal_1,dimensionless,1,user_defined
u_in_terminal_1,J_per_m3,9332.5666,WONT_BE_USED
R_T1_terminal_2,Js_per_m6,68123000,Boileau_2015
R_T2_terminal_2,Js_per_m6,3101300000,Boileau_2015
R_T_terminal_2,Js_per_m6,3169423000,Boileau_2015
C_T_terminal_2,m6_per_J,3.6664E-10,Boileau_2015
I_T_terminal_2,Js2_per_m6,0.000001,user_defined
u_ext_terminal_2,J_per_m3,0,user_defined
q_us_terminal_2,m3,0,user_defined
q_init_terminal_2,m3,3.421692218224E-06,computed_from_u_0_C_T
u_out_terminal_2,J_per_m3,0,user_defined
Delta_R_terminal_2,Js_per_m6,0,user_defined
R_local_multiplier_terminal_2,dimensionless,1,user_defined
u_in_terminal_2,J_per_m3,9332.5666,WONT_BE_USED
I_T_global,Js2_per_m6,0.000001,user_defined
T,second,1.1,user_defined
rho,Js2_per_m5,1040,known
mu,Js_per_m3,0.004,known
nu,dimensionless,0.5,known
SMvolfrac_art,dimensionless,0.1,Toro_2021
beta_g,dimensionless,0,user_defined
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,Avolio_1980
b_vessel,per_m,-505.3,Avolio_1980
c_vessel,dimensionless,0.1324,Avolio_1980
d_vessel,per_m,-11.14,Avolio_1980
R_flag,dimensionless,1,user_defined
E_K_tube_parent,J_per_m3,500000,Boileau_2015
K_m_K_tube_parent,Js_per_m3,30000,Toro_2021
l_parent,metre,0.086,Boileau_2015
r_0_parent,metre,0.0086,Boileau_2015
u_0_parent,J_per_m3,9332.5666,user_defined
theta_parent,dimensionless,0,user_defined
u_ext_parent,J_per_m3,0,user_defined
E_K_tube_daughter_1,J_per_m3,700000,Boileau_2015
K_m_K_tube_daughter_1,Js_per_m3,30000,Toro_2021
l_daughter_1,metre,0.085,Boileau_2015
r_0_daughter_1,metre,0.006,Boileau_2015
u_0_daughter_1,J_per_m3,9332.5666,user_defined
theta_daughter_1,dimensionless,0,user_defined
u_ext_daughter_1,J_per_m3,0,user_defined
E_daughter_2,J_per_m3,700000,Boileau_2015
E_K_tube_daughter_2,J_per_m3,700000,Boileau_2015
K_m_K_tube_daughter_2,Js_per_m3,30000,Toro_2021
l_daughter_2,metre,0.085,Boileau_2015
r_0_daughter_2,metre,0.006,Boileau_2015
u_0_daughter_2,J_per_m3,9332.5666,user_defined
theta_daughter_2,dimensionless,0,user_defined
u_ext_daughter_2,J_per_m3,0,user_defined
m_tube_parent,dimensionless,0.5,known
n_tube_parent,dimensionless,0,known
I_scale_parent,dimensionless,1,user_defined
m_tube_daughter_1,dimensionless,0.5,known
n_tube_daughter_1,dimensionless,0,known
I_scale_daughter_1,dimensionless,1,user_defined
m_tube_daughter_2,dimensionless,0.5,known
n_tube_daughter_2,dimensionless,0,known
I_scale_daughter_2,dimensionless,1,user_defined
u_in_daughter_2,J_per_m3,9332.5666,WONT_BE_USED
