variable_name,units,value,data_reference
R_par,Js_per_m6,10.664e+6,Blanco_2013_Table_8
C_par,m6_per_J,0.0309077e-8,to_be_identified
u_ext_par,J_per_m3,0.0,user_defined
I_par,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
R_pcap,Js_per_m6,1.0e-12,small_chosen
C_pcap,m6_per_J,1.0e-12,small_chosen
u_ext_pcap,J_per_m3,0.0,user_defined
I_pcap,Js2_per_m6,1.0e-6,small_chosen
q_0_pulmonary_GE,m3,2e-3,user_defined
k_O2_pulmonary_GE,m6_per_Js,2.850285e-10,Bizzotto2022
k_CO2_pulmonary_GE,m6_per_Js,8.2e-9,Bizzotto2022
shunt_fraction_pulmonary_GE,dimensionless,0.017,GuytonAndHall2006
k_1,J_per_m3,1998.5,Spencer1979
k_2,J_per_m3,25917.4,Spencer1979
h_1,dimensionless,0.3836,Spencer1979
h_2,dimensionless,1.819,Spencer1979
alpha_1,m3_per_J,2.3987e-4,Spencer1979
alpha_2,m3_per_J,4.1937e-4,Spencer1979
beta_1,m3_per_J,6.2069e-5,Spencer1979
beta_2,m3_per_J,2.4415e-5,Spencer1979
C_O2_sat,dimensionless,0.20448,Spencer1979
C_CO2_sat,dimensionless,1.9564,Spencer1979
F_O2_i_respiratory_gt,dimensionless,0.210379,WestPulmonaryPhysiology2008
F_CO2_i_respiratory_gt,dimensionless,0.000421,WestPulmonaryPhysiology2008
K_LOSSES_respiratory_gt,dimensionless,1.2103,WestPulmonaryPhysiology2008
P_atm,J_per_m3,101300,known
P_ws,J_per_m3,6266.15,WestPulmonaryPhysiology2008
P_mus_min_lung,J_per_m3,-490,Albanese2016
P_plEE_lung,J_per_m3,-490,WestPulmonaryPhysiology2008
q_l_us_lung,m3,34.4e-6,YasuhiroFukui1972
q_t_us_lung,m3,6.63e-6,YasuhiroFukui1972
q_b_us_lung,m3,18.7e-6,YasuhiroFukui1972
q_A_us_lung,m3,1.263e-6,Bizotto2022
R_ml_lung,Js_per_m6,100058,Rideout1991
R_lt_lung,Js_per_m6,33016,Rideout1991
R_tb_lung,Js_per_m6,30017,Rideout1991
R_bA_lung,Js_per_m6,8006,Rideout1991
R_plwall_lung,Js_per_m6,1e4,Rideout1991
C_l_lung,J_per_m6,1.2959e-8,YasuhiroFukui1972
C_t_lung,J_per_m6,2.4286e-8,YasuhiroFukui1972
C_b_lung,J_per_m6,1.3367e-6,YasuhiroFukui1972
C_A_lung,J_per_m6,2.0408e-6,YasuhiroFukui1972
C_pl_lung,J_per_m6,2.5e-6,user_defined_to_be_identified
T_resp_lung,second,5.0,WestPulmonaryPhysiology2008
IE_ratio_lung,dimensionless,0.6,Bizotto2022
P_m,J_per_m3,0.0,known
R_pvn,Js_per_m6,1.333e+6,Blanco_2013_Table_8
C_pvn,m6_per_J,0.60015e-8,to_be_identified
u_ext_pvn,J_per_m3,0.0,user_defined
I_pvn,Js2_per_m6,1.0e-6,Blanco_2013_Table_8
q_us_0_pvn,m3,0.0,user_defined
Delta_C_pvn,m6_per_J,0.0,user_defined
Delta_q_us_pvn,m3,0.0,user_defined
rho,Js2_per_m5,1050,known
T,second,1.0,defined_by_user
q_ra_us,m3,4.0e-6,Korakianitis_2006_Table_1
q_rv_us,m3,10.0e-6,Korakianitis_2006_Table_1
q_la_us,m3,4.0e-6,Korakianitis_2006_Table_1
q_lv_us,m3,5.0e-6,Korakianitis_2006_Table_1
q_ra_init,m3,4.0e-6,Korakianitis_2006_Table_1
q_rv_init,m3,10.0e-6,Korakianitis_2006_Table_1
q_la_init,m3,4.0e-6,Korakianitis_2006_Table_1
q_lv_init,m3,15.0e-4,to_be_identified
T_ac,second,0.17,Liang_2009_Table_2
T_ar,second,0.17,Liang_2009_Table_2
t_astart,second,0.80,Liang_2009_Table_2
T_vc,second,0.34,Liang_2009_Table_2
T_vr,second,0.15,Liang_2009_Table_2
t_vstart,second,0.0,Liang_2009_Table_2
E_ra_A,J_per_m6,7.998e+6,Liang_2009_Table_2
E_ra_B,J_per_m6,9.331e+6,Liang_2009_Table_2
E_rv_A,J_per_m6,73.315e+6,Liang_2009_Table_2
E_rv_B,J_per_m6,6.665e+6,Liang_2009_Table_2
E_la_A,J_per_m6,9.331e+6,Liang_2009_Table_2
E_la_B,J_per_m6,11.997e+6,Liang_2009_Table_2
E_lv_A,J_per_m6,3.1744e+08,15_07_2022_identified
E_lv_B,J_per_m6,10.664e+6,Liang_2009_Table_2
K_vo_trv,m3_per_Js,0.3,Mynard_2012
K_vo_puv,m3_per_Js,0.2,Mynard_2012
K_vo_miv,m3_per_Js,0.3,Mynard_2012
K_vo_aov,m3_per_Js,0.12,Mynard_2012
K_vc_trv,m3_per_Js,0.4,Mynard_2012
K_vc_puv,m3_per_Js,0.2,Mynard_2012
K_vc_miv,m3_per_Js,0.4,Mynard_2012
K_vc_aov,m3_per_Js,0.12,Mynard_2012
M_rg_trv,dimensionless,0,Mynard_2012
M_rg_puv,dimensionless,0,Mynard_2012
M_rg_miv,dimensionless,0,Mynard_2012
M_rg_aov,dimensionless,0,Mynard_2012
M_st_trv,dimensionless,1,Mynard_2012
M_st_puv,dimensionless,1,Mynard_2012
M_st_miv,dimensionless,1,Mynard_2012
M_st_aov,dimensionless,1,Mynard_2012
l_eff,metre,0.02,to_be_identified
A_nn_trv,m2,0.0008,Mynard_2012
A_nn_puv,m2,0.00071,Mynard_2012
A_nn_miv,m2,0.00077,Mynard_2012
A_nn_aov,m2,0.00068,Mynard_2012
E_ascending_aorta_A,J_per_m3,0.4e+6,ADAN_86
l_ascending_aorta_A,metre,15.3234e-03,ADAN_86
r_ascending_aorta_A,metre,15.642e-03,ADAN_86
theta_ascending_aorta_A,dimensionless,0,defined_by_user
u_ext_ascending_aorta_A,J_per_m3,0.0,user_defined
beta_g,dimensionless,0.0,user_defined
mu,Js_per_m3,0.004,known
g,m_per_s2,9.81,known
a_vessel,dimensionless,0.2802,TODO_reference
b_vessel,per_m,-505.3,TODO_reference
c_vessel,dimensionless,0.1324,TODO_reference
d_vessel,per_m,-11.14,TODO_reference
E_ascending_aorta_B,J_per_m3,0.4e+6,ADAN_86
l_ascending_aorta_B,metre,14.796e-03,ADAN_86
r_ascending_aorta_B,metre,15.08e-03,ADAN_86
u_ext_ascending_aorta_B,J_per_m3,0.0,user_defined
theta_ascending_aorta_B,dimensionless,0,defined_by_user
E_ascending_aorta_C,J_per_m3,0.4e+6,ADAN_86
l_ascending_aorta_C,metre,14.796e-03,ADAN_86
r_ascending_aorta_C,metre,14.5305e-03,ADAN_86
u_ext_ascending_aorta_C,J_per_m3,0.0,user_defined
theta_ascending_aorta_C,dimensionless,0,defined_by_user
E_ascending_aorta_D,J_per_m3,0.4e+6,ADAN_86
l_ascending_aorta_D,metre,14.796e-03,ADAN_86
r_ascending_aorta_D,metre,13.914e-03,ADAN_86
u_ext_ascending_aorta_D,J_per_m3,0.0,user_defined
theta_ascending_aorta_D,dimensionless,0,defined_by_user
E_aortic_arch_C2,J_per_m3,0.4e+6,ADAN_86
l_aortic_arch_C2,metre,14.796e-03,ADAN_86
r_aortic_arch_C2,metre,13.3364e-03,ADAN_86
theta_aortic_arch_C2,dimensionless,90,defined_by_user
u_ext_aortic_arch_C2,J_per_m3,0.0,user_defined
E_aortic_arch_C46,J_per_m3,0.4e+6,ADAN_86
l_aortic_arch_C46,metre,9.60849e-03,ADAN_86
r_aortic_arch_C46,metre,12.76710e-03,ADAN_86
theta_aortic_arch_C46,dimensionless,90,defined_by_user
u_ext_aortic_arch_C46,J_per_m3,0.0,user_defined
E_aortic_arch_C64,J_per_m3,0.4e+6,ADAN_86
l_aortic_arch_C64,metre,6.97955e-03,ADAN_86
r_aortic_arch_C64,metre,12.42880e-03,ADAN_86
theta_aortic_arch_C64,dimensionless,90,defined_by_user
u_ext_aortic_arch_C64,J_per_m3,0.0,user_defined
E_brachiocephalic_trunk_C4,J_per_m3,0.4e+6,ADAN_86
l_brachiocephalic_trunk_C4,metre,47.3822e-03,ADAN_86
r_brachiocephalic_trunk_C4,metre,6.41887e-03,ADAN_86
theta_brachiocephalic_trunk_C4,dimensionless,0,defined_by_user
u_ext_brachiocephalic_trunk_C4,J_per_m3,0.0,user_defined
E_subclavian_L66,J_per_m3,0.4e+6,ADAN_86
l_subclavian_L66,metre,49.4669e-03,ADAN_86
r_subclavian_L66,metre,3.99235e-03,ADAN_86
theta_subclavian_L66,dimensionless,90,defined_by_user
u_ext_subclavian_L66,J_per_m3,0.0,user_defined
E_subclavian_L78,J_per_m3,0.4e+6,ADAN_86
l_subclavian_L78,metre,41.1396e-03,ADAN_86
r_subclavian_L78,metre,2.90824e-03,ADAN_86
u_ext_subclavian_L78,J_per_m3,0.0,user_defined
theta_subclavian_L78,dimensionless,90,defined_by_user
E_brachial_L82,J_per_m3,0.4e+6,ADAN_86
l_brachial_L82,metre,223.119e-03,ADAN_86
r_brachial_L82,metre,1.96732e-03,ADAN_86
u_ext_brachial_L82,J_per_m3,0.0,user_defined
theta_brachial_L82,dimensionless,180,defined_by_user
E_common_carotid_L48_A,J_per_m3,0.4e+6,ADAN_86
l_common_carotid_L48_A,metre,30.339e-03,ADAN_86
r_common_carotid_L48_A,metre,4.36635e-03,ADAN_86
u_ext_common_carotid_L48_A,J_per_m3,0.0,user_defined
theta_common_carotid_L48_A,dimensionless,0,defined_by_user
